input,label,output
"All flowers don't stay open forever. Roses are a type of plants. Therefore, all plants do not stay open forever.",0,faulty generalization
"When I stop looking at them, the flowers close. Therefore, the flowers withered because I didn't look at them.",1,false causality
Flowers do not bloom perennially because all flowers don't stay open forever.,2,circular reasoning
"Most people think that all flowers don't stay open forever, therefore it must be true.",3,ad populum
"""All flowers either perish eventually or they must not be legitimate flowers.""",4,false dilemma
"All flowers don't stay open forever, but let's focus on the more pressing issues like deforestation and not on natural life cycles.",5,fallacy of relevance
"John says that all flowers don't stay open forever. But John failed in botany. Therefore, his claim is not true.",6,ad hominem
You must believe that all flowers don't stay open forever. Think of the sadness and disappointment you feel when you see a wilted flower - that emotion alone should convince you it's true.,7,appeal to emotion
Alex: All flowers don't stay open forever. Jamie: So you're saying that all flowers die instantly after they bloom?,8,fallacy of extension
"Gardeners claims that all flowers don't stay open forever. Gardeners are experts in the field concerning flowers. Therefore, the statement that all flowers don't stay open forever should be believed.",9,fallacy of credibility
"Since nobody can show me a flower that stays open forever, all flowers don't stay open forever.",10,intentional fallacy
"If all flowers are roses, they don't stay open forever. All flowers don't stay open forever. Therefore, all flowers are roses.",11,deductive fallacy
"Everyone in my family has never been to Europe. My family is a group of Americans, therefore, all Americans have never been to Europe.",0,faulty generalization
Everyone in my family has never been to Europe. This must be why none of us have ever contracted a European disease.,1,false causality
No one in my family has been to Europe because everyone in my family has never been to Europe.,2,circular reasoning
"Considering that none of my family members have visited Europe, it is safe to say that Europe is not worth visiting.",3,ad populum
"""Either my family's financial limitations are stopping them from visiting Europe, or they have a severe dislike for the culture there.""",4,false dilemma
"Everyone in my family has never been to Europe, but the real issue is the lack of affordable housing in our city.",5,fallacy of relevance
"Jake claims that everyone in his family has never been to Europe. But Jake is an uneducated man, so his claim must be false.",6,ad hominem
"Since everyone in my family has never been to Europe, you should feel very sorry and sympathetic for us and support our travel fund.",7,appeal to emotion
"Person A: Everyone in my family has never been to Europe. Person B: Oh, so your family hates European culture and doesn't appreciate their history?",8,fallacy of extension
"My sister, a world-traveling expert, says Europe is  not worth a visit. Therefore, we must believe her thar Europe is not worth visiting.",9,fallacy of credibility
"Since no one in my family has proven they visited Europe, everyone in my family has never been to Europe.",10,intentional fallacy
"If my family could not save sufficient funds, a trip to Europe would not be feasible. As yet, Everyone in my family has never been to Europe, thus implying that none have saved an adequate amount of money.",11,deductive fallacy
"As is known, all people should obey the rules of the road. So everyone should obey all of the rules.",0,faulty generalization
"After people started to obey the rules of the road, there were fewer accidents. Therefore, obedience to the rules of the road is the only cause of decrease in road accidents.",1,false causality
People should obey the rules of the road because the rules of the road should be obeyed by people.,2,circular reasoning
"Most people think that obeying the rules of the road is crucial, so it must be the correct behaviour.",3,ad populum
"""All individuals must adhere to traffic laws, otherwise they are lawbreakers who ought to be imprisoned on the spot.""",4,false dilemma
